amenities,bathrooms,bedrooms,beds,city,country,host_id,host_name,image_url,listingId,listingLat,listingLng,location,personCapacity,ratings,roomType,state,title
"[{'Bathroom': ['Bathtub', 'Hair dryer', 'Cleaning products', 'Shampoo', 'Conditioner', 'Body soap', 'Hot water', 'Shower gel']}, {'Bedroom and laundry': ['Free washer – In unit', 'Free dryer – In unit', 'Essentials', 'Hangers', 'Bed linens', 'Extra pillows and blankets', 'Iron', 'Safe', 'Clothing storage']}, {'Entertainment': ['50"" HDTV with Hulu, Apple TV, Netflix, Disney+, Amazon Prime Video, HBO Max', 'Bluetooth sound system', 'Books and reading material']}, {'Family': ['Children’s books and toys for ages 2-5 years old and 5-10 years old', 'Board games']}, {'Heating and cooling': ['Central air conditioning', 'Central heating']}, {'Home safety': ['Security cameras on property', 'Smoke alarm', 'Carbon monoxide alarm', 'Fire extinguisher', 'First aid kit']}, {'Internet and office': ['Wifi']}, {'Kitchen and dining': ['Kitchen', 'Refrigerator', 'Microwave', 'Cooking basics', 'Dishes and silverware', 'Freezer', 'Dishwasher', 'Gas stove', 'Oven', 'Hot water kettle', 'Coffee maker: drip coffee maker', 'Wine glasses', 'Toaster', 'Baking sheet', 'Blender', 'Barbecue utensils', 'Coffee', 'Dining table']}, {'Location features': ['Private entrance', 'Laundromat nearby']}, {'Outdoor': ['Private patio or balcony', 'Private backyard – Fully fenced', 'Outdoor furniture', 'Outdoor dining area', 'BBQ grill']}, {'Parking and facilities': ['Free driveway parking on premises']}, {'Services': ['Self check-in', 'Smart lock', 'Long term stays allowed']}]",3.5 baths,3 bedrooms,5 beds,Rogers, United States,447218869,Entire home hosted by Dave And Jenny Marrs,https://a0.muscache.com/pictures/miso/Hosting-572301959943032451/original/42dc369d-a674-4bb5-80cc-ccf779bb7d9f.jpeg,572301959943032451,-94.12993,36.32276,Rogers,8,"{'accuracyRating': 4.88, 'checkinRating': 4.93, 'cleanlinessRating': 5, 'communicationRating': 4.98, 'locationRating': 4.72, 'valueRating': 4.79, 'guestSatisfactionOverall': 4.98, 'visibleReviewCount': '43'}",Entire home/apt, Arkansas,"The Welcome Inn, Rogers"
"[{'Bathroom': ['Bathtub', 'Hair dryer', 'Cleaning products', 'Shampoo', 'Conditioner', 'Body soap', 'Hot water']}, {'Bedroom and laundry': ['Free washer – In unit', 'Free dryer – In unit', 'Essentials', 'Hangers', 'Bed linens', 'Extra pillows and blankets', 'Iron', 'Clothing storage: dresser and closet']}, {'Entertainment': ['TV']}, {'Heating and cooling': ['Central air conditioning', 'Ceiling fan', 'Central heating']}, {'Home safety': ['Smoke alarm', 'Carbon monoxide alarm']}, {'Internet and office': ['Wifi']}, {'Kitchen and dining': ['Kitchen', 'Refrigerator', 'Microwave', 'Cooking basics', 'Dishes and silverware', 'Freezer', 'Stove', 'Oven', 'Hot water kettle', 'Coffee']}, {'Outdoor': ['Private backyard', 'Fire pit', 'Outdoor furniture', 'Outdoor dining area', 'Outdoor kitchen', 'BBQ grill']}, {'Parking and facilities': ['Free parking on premises', 'Single level home']}, {'Services': ['Self check-in', 'Keypad']}, {'Not included': ['Security cameras on property', 'Private entrance']}]",1 bath,2 bedrooms,2 beds,Rogers, United States,81650208,Entire home hosted by Kailee,https://a0.muscache.com/pictures/miso/Hosting-612898634364176734/original/e8afff05-8879-49ee-8a17-1ebdc78988e8.jpeg,612898634364176734,-94.12578,36.34666,Rogers,6,"{'accuracyRating': 4.58, 'checkinRating': 4.5, 'cleanlinessRating': 4.67, 'communicationRating': 4.67, 'locationRating': 4.42, 'valueRating': 4.5, 'guestSatisfactionOverall': 4.67, 'visibleReviewCount': '12'}",Entire home/apt, Arkansas,"Cozy Corner - 2 bedroom, 1 bath in Downtown Rogers"
"[{'Bathroom': ['Bathtub', 'Hair dryer', 'Cleaning products', 'Shampoo', 'Conditioner', 'Body soap', 'Hot water']}, {'Bedroom and laundry': ['Washer', 'Dryer', 'Essentials', 'Hangers', 'Bed linens', 'Extra pillows and blankets', 'Iron', 'Clothing storage']}, {'Entertainment': ['TV']}, {'Family': ['Pack ’n play/Travel crib', 'Children’s dinnerware']}, {'Heating and cooling': ['Air conditioning', 'Ceiling fan', 'Heating']}, {'Home safety': ['Smoke alarm', 'Carbon monoxide alarm', 'Fire extinguisher', 'First aid kit']}, {'Internet and office': ['Wifi', 'Dedicated workspace']}, {'Kitchen and dining': ['Kitchen', 'Refrigerator', 'Microwave', 'Cooking basics', 'Dishes and silverware', 'Freezer', 'Dishwasher', 'Stove', 'Oven', 'Hot water kettle', 'Coffee maker: Keurig coffee machine', 'Wine glasses', 'Toaster', 'Baking sheet']}, {'Location features': ['Private entrance']}, {'Parking and facilities': ['Free parking on premises', 'Free street parking', 'Single level home']}, {'Services': ['Self check-in', 'Smart lock', 'Long term stays allowed']}, {'Not included': ['Security cameras on property']}]",1 bath,2 bedrooms,3 beds,Bentonville, United States,383419697,Entire rental unit hosted by Steven,https://a0.muscache.com/pictures/c8c0c113-35a3-41c1-8330-cf93de35020f.jpg,49286189,-94.20611,36.35807,Bentonville,6,"{'accuracyRating': 4.91, 'checkinRating': 4.91, 'cleanlinessRating': 4.84, 'communicationRating': 4.85, 'locationRating': 4.76, 'valueRating': 4.84, 'guestSatisfactionOverall': 4.77, 'visibleReviewCount': '79'}",Entire home/apt, Arkansas,Stylish Apartment in the Heart of Bentonville
"[{'Bathroom': ['Bathtub', 'Hair dryer', 'Cleaning products', 'Shampoo', 'Conditioner', 'Body soap', 'Hot water', 'Shower gel']}, {'Bedroom and laundry': ['Essentials', 'Hangers', 'Bed linens', 'Extra pillows and blankets', 'Room-darkening shades', 'Iron', 'Clothing storage: dresser and closet']}, {'Entertainment': ['TV with Hulu, Roku', 'Books and reading material']}, {'Family': ['Children’s books and toys', 'Board games']}, {'Heating and cooling': ['AC - split type ductless system', 'Indoor fireplace: electric', 'Ceiling fan', 'Heating']}, {'Home safety': ['Smoke alarm', 'Carbon monoxide alarm', 'Fire extinguisher', 'First aid kit']}, {'Internet and office': ['Wifi', 'Dedicated workspace']}, {'Kitchen and dining': ['Kitchen', 'Refrigerator', 'Microwave', 'Cooking basics', 'Dishes and silverware', 'Freezer', 'Stove', 'Oven', 'Coffee maker', 'Wine glasses', 'Toaster', 'Baking sheet', 'Coffee']}, {'Location features': ['Private entrance', 'Laundromat nearby']}, {'Outdoor': ['Shared patio or balcony', 'Private backyard – Fully fenced', 'Fire pit', 'Outdoor furniture', 'Outdoor dining area']}, {'Parking and facilities': ['Free parking on premises', 'Free street parking', 'Shared gym nearby']}, {'Services': ['Luggage dropoff allowed', 'Long term stays allowed', 'Self check-in', 'Lockbox']}, {'Not included': ['Security cameras on property', 'Washer']}]",1 bath,1 bedroom,3 beds,Rogers, United States,81142825,Entire guesthouse hosted by Deanna,https://a0.muscache.com/pictures/5aa5ac91-2aba-44ab-85a4-7af8e0523286.jpg,18160995,-94.12001,36.33941,Rogers,3,"{'accuracyRating': 4.98, 'checkinRating': 5, 'cleanlinessRating': 4.99, 'communicationRating': 5, 'locationRating': 4.94, 'valueRating': 4.97, 'guestSatisfactionOverall': 4.99, 'visibleReviewCount': '703'}",Entire home/apt, Arkansas,Barn House 1894 UNDER THE OAK  Downtown Rogers
"[{'Bathroom': ['Bathtub', 'Hair dryer', 'Cleaning products', 'Shampoo', 'Conditioner', 'Body soap', 'Hot water']}, {'Bedroom and laundry': ['Essentials', 'Hangers', 'Bed linens', 'Extra pillows and blankets', 'Iron', 'Clothing storage: closet']}, {'Entertainment': ['50"" HDTV with Fire TV', 'Books and reading material']}, {'Family': ['Children’s dinnerware', 'Board games']}, {'Heating and cooling': ['AC - split type ductless system', 'Ceiling fan', 'Central heating']}, {'Home safety': ['Security cameras on property', 'Smoke alarm', 'Carbon monoxide alarm', 'Fire extinguisher', 'First aid kit']}, {'Internet and office': ['Wifi']}, {'Kitchen and dining': ['Kitchen', 'Apartment size refrigerator', 'Microwave', 'Cooking basics', 'Dishes and silverware', 'Freezer', 'Apartment size electric stove', 'Apartment size oven', 'Coffee maker: Keurig coffee machine', 'Wine glasses', 'Toaster', 'Baking sheet', 'Blender', 'Coffee']}, {'Location features': ['Private entrance', 'Laundromat nearby']}, {'Outdoor': ['Private patio or balcony', 'Private backyard – Not fully fenced', 'Fire pit', 'Outdoor furniture']}, {'Parking and facilities': ['Free driveway parking on premises – 2 spaces', 'Single level home']}, {'Services': ['Pets allowed', 'Luggage dropoff allowed', 'Long term stays allowed', 'Self check-in', 'Lockbox']}, {'Not included': ['Washer']}]",1 bath,2 bedrooms,2 beds,Rogers, United States,154107102,Entire home hosted by Jacob,https://a0.muscache.com/pictures/e2dff5e2-e796-485b-b200-b98ba8ec8cde.jpg,53204484,-94.12512,36.32795,Rogers,5,"{'accuracyRating': 4.94, 'checkinRating': 4.99, 'cleanlinessRating': 4.9, 'communicationRating': 4.99, 'locationRating': 4.9, 'valueRating': 4.89, 'guestSatisfactionOverall': 4.86, 'visibleReviewCount': '70'}",Entire home/apt, Arkansas,A Railyard Retreat- 1960’s home in Historic DTR
"[{'Bathroom': ['Hair dryer', 'Cleaning products', 'Shampoo', 'Conditioner', 'Body soap', 'Hot water', 'Shower gel']}, {'Bedroom and laundry': ['Essentials', 'Hangers', 'Bed linens', 'Extra pillows and blankets', 'Room-darkening shades', 'Iron']}, {'Entertainment': ['TV with Hulu, Roku']}, {'Heating and cooling': ['Window AC unit', 'Portable fans', 'Heating']}, {'Home safety': ['Smoke alarm', 'Carbon monoxide alarm', 'Fire extinguisher', 'First aid kit']}, {'Internet and office': ['Wifi', 'Dedicated workspace']}, {'Kitchen and dining': ['Kitchen', 'Refrigerator', 'Microwave', 'Cooking basics', 'Dishes and silverware', 'Mini fridge', 'Stove', 'Oven', 'Coffee maker: drip coffee maker', 'Toaster', 'Baking sheet', 'Blender', 'Coffee', 'Bread maker']}, {'Location features': ['Private entrance']}, {'Outdoor': ['Private patio or balcony', 'Outdoor furniture', 'Outdoor dining area']}, {'Parking and facilities': ['Free parking on premises', 'Free street parking', 'Single level home']}, {'Services': ['Luggage dropoff allowed', 'Long term stays allowed', 'Self check-in', 'Lockbox']}, {'Not included': ['Washer']}]",1 bath,1 bedroom,2 beds,Rogers, United States,81142825,Entire guesthouse hosted by Deanna,https://a0.muscache.com/pictures/2956151a-b766-4c8d-a7e1-7061b3bb6170.jpg,24570364,-94.12165,36.32688,Rogers,2,"{'accuracyRating': 4.97, 'checkinRating': 4.98, 'cleanlinessRating': 4.96, 'communicationRating': 4.98, 'locationRating': 4.93, 'valueRating': 4.96, 'guestSatisfactionOverall': 4.95, 'visibleReviewCount': '572'}",Entire home/apt, Arkansas,"The ""TOOL SHED"" tiny house 144 sq. ft"
"[{'Bathroom': ['Bathtub', 'Hair dryer', 'Cleaning products', 'Shampoo', 'Pantene conditioner', 'Dove body soap', 'Hot water']}, {'Bedroom and laundry': ['Free washer – In unit', 'Dryer', 'Essentials', 'Hangers', 'Bed linens', 'Extra pillows and blankets', 'Iron', 'Clothing storage: closet, dresser, and walk-in closet']}, {'Entertainment': ['Ethernet connection', '55"" HDTV with Amazon Prime Video, Apple TV, Disney+, HBO Max, Hulu, Netflix', 'Books and reading material']}, {'Family': ['Crib', 'Pack ’n play/Travel crib - always at the listing', 'Changing table', 'Board games']}, {'Heating and cooling': ['Central air conditioning', 'Ceiling fan', 'Heating']}, {'Home safety': ['Smoke alarm', 'Carbon monoxide alarm']}, {'Internet and office': ['Wifi']}, {'Kitchen and dining': ['Kitchen', 'Refrigerator', 'Microwave', 'Cooking basics', 'Dishes and silverware', 'Freezer', 'Dishwasher', 'Stove', 'Stainless steel oven', 'Hot water kettle', 'Coffee maker', 'Wine glasses', 'Toaster', 'Baking sheet', 'Coffee', 'Dining table']}, {'Location features': ['Private entrance']}, {'Outdoor': ['Private patio or balcony', 'Backyard']}, {'Parking and facilities': ['Free parking on premises', 'Free street parking', 'Single level home']}, {'Services': ['Long term stays allowed', 'Self check-in', 'Keypad']}, {'Not included': ['Security cameras on property']}]",2 baths,2 bedrooms,2 beds,Rogers, United States,81650208,Entire home hosted by Kailee,https://a0.muscache.com/pictures/318ea58a-c3dd-475f-b243-0ecac52bb545.jpg,44946077,-94.12305,36.33488,Rogers,6,"{'accuracyRating': 4.91, 'checkinRating': 4.97, 'cleanlinessRating': 4.85, 'communicationRating': 4.94, 'locationRating': 4.96, 'valueRating': 4.9, 'guestSatisfactionOverall': 4.9, 'visibleReviewCount': '108'}",Entire home/apt, Arkansas,"Red Corner Cottage - 2 BR, 2 BA in Downtown Rogers"
"[{'Bathroom': ['Bathtub', 'Hair dryer', 'Cleaning products', 'Shampoo', 'Conditioner', 'Hot water']}, {'Bedroom and laundry': ['Free washer – In unit', 'Free dryer – In unit', 'Essentials', 'Hangers', 'Bed linens', 'Extra pillows and blankets', 'Iron', 'Clothing storage: dresser and closet']}, {'Entertainment': ['55"" HDTV with Roku', 'Eco dot sound system', 'Books and reading material']}, {'Family': ['Board games']}, {'Heating and cooling': ['Central air conditioning', 'Ceiling fan', 'Central heating']}, {'Home safety': ['Security cameras on property', 'Smoke alarm', 'Fire extinguisher', 'First aid kit']}, {'Internet and office': ['Wifi', 'Dedicated workspace']}, {'Kitchen and dining': ['Kitchen', 'Refrigerator', 'Microwave', 'Cooking basics', 'Dishes and silverware', 'Freezer', 'Dishwasher', 'Stove', 'Stainless steel oven', 'Coffee maker: drip coffee maker, Keurig coffee machine', 'Wine glasses', 'Baking sheet', 'Blender', 'Barbecue utensils', 'Coffee', 'Dining table']}, {'Location features': ['Private entrance']}, {'Outdoor': ['Private patio or balcony', 'Fire pit', 'BBQ grill']}, {'Parking and facilities': ['Free parking on premises', 'Single level home']}, {'Services': ['Pets allowed', 'Long term stays allowed', 'Self check-in', 'Keypad']}, {'Not included': ['Carbon monoxide alarm']}]",1 bath,2 bedrooms,3 beds,Rogers, United States,275010448,Entire home hosted by Greg And Beth,https://a0.muscache.com/pictures/miso/Hosting-614337878230113881/original/cbee558d-90c1-4063-9067-69d5093f271b.jpeg,614337878230113881,-94.11745,36.33798,Rogers,5,"{'accuracyRating': 5, 'checkinRating': 5, 'cleanlinessRating': 5, 'communicationRating': 5, 'locationRating': 4.93, 'valueRating': 5, 'guestSatisfactionOverall': 5, 'visibleReviewCount': '14'}",Entire home/apt, Arkansas,Downtown Trailside Cottage
"[{'Bathroom': ['Hair dryer', 'Cleaning products', 'Shampoo', 'Conditioner', 'Body soap', 'Hot water', 'Shower gel']}, {'Bedroom and laundry': ['Free washer – In unit', 'Free dryer – In unit', 'Essentials', 'Hangers', 'Bed linens', 'Extra pillows and blankets', 'Iron', 'Clothing storage: closet and dresser']}, {'Entertainment': ['TV', 'Books and reading material']}, {'Heating and cooling': ['Air conditioning', 'Ceiling fan', 'Central heating']}, {'Home safety': ['Smoke alarm', 'Carbon monoxide alarm', 'Fire extinguisher', 'First aid kit']}, {'Internet and office': ['Wifi', 'Dedicated workspace']}, {'Kitchen and dining': ['Kitchen', 'Refrigerator', 'Microwave', 'Cooking basics', 'Dishes and silverware', 'Freezer', 'Dishwasher', 'Stainless steel stove', 'Stainless steel oven', 'Hot water kettle', 'Coffee maker: drip coffee maker', 'Coffee', 'Dining table']}, {'Location features': ['Private entrance']}, {'Parking and facilities': ['Free street parking']}, {'Services': ['Self check-in', 'Keypad', 'Long term stays allowed']}, {'Not included': ['Security cameras on property']}]",1 bath,Studio,1 bed,Rogers, United States,71683591,Entire loft hosted by Shannon,https://a0.muscache.com/pictures/miso/Hosting-588364798136206634/original/60a90090-6243-41a4-87ea-a48eec4ed6ae.jpeg,588364798136206634,-94.11736,36.33407,Rogers,2,"{'accuracyRating': 5, 'checkinRating': 4.99, 'cleanlinessRating': 5, 'communicationRating': 4.99, 'locationRating': 5, 'valueRating': 5, 'guestSatisfactionOverall': 5, 'visibleReviewCount': '73'}",Entire home/apt, Arkansas,107 loft @ DTR
"[{'Bathroom': ['Hair dryer', 'Shampoo', 'Conditioner', 'Body soap', 'Hot water', 'Shower gel']}, {'Bedroom and laundry': ['Free washer – In building', 'Free dryer – In building', 'Essentials', 'Hangers', 'Bed linens', 'Extra pillows and blankets', 'Iron', 'Clothing storage: closet and dresser']}, {'Entertainment': ['TV']}, {'Heating and cooling': ['AC - split type ductless system', 'Central heating']}, {'Home safety': ['Security cameras on property', 'Smoke alarm', 'Carbon monoxide alarm', 'Fire extinguisher', 'First aid kit']}, {'Internet and office': ['Wifi', 'Dedicated workspace']}, {'Kitchen and dining': ['Kitchen', 'Refrigerator', 'Microwave', 'Cooking basics', 'Dishes and silverware', 'Coffee maker', 'Wine glasses', 'Coffee', 'Dining table']}, {'Location features': ['Private entrance']}, {'Outdoor': ['Private patio or balcony', 'Backyard - Not fully fenced', 'Fire pit', 'Outdoor furniture', 'Outdoor dining area', 'BBQ grill']}, {'Parking and facilities': ['Free parking on premises']}, {'Services': ['Luggage dropoff allowed', 'Self check-in', 'Keypad']}]",1 bath,1 bedroom,2 beds,Rogers, United States,64802813,Entire guesthouse hosted by Mandy And Mike,https://a0.muscache.com/pictures/245d5b9c-96c6-48dd-9eb0-a7290ea1af9f.jpg,53552894,-94.11078,36.33811,Rogers,3,"{'accuracyRating': 5, 'checkinRating': 5, 'cleanlinessRating': 5, 'communicationRating': 5, 'locationRating': 5, 'valueRating': 5, 'guestSatisfactionOverall': 4.96, 'visibleReviewCount': '47'}",Entire home/apt, Arkansas,Oz Landing-NEW STUDIO Walk to DT Rogers
